P (GPa),T (kK),p_lo,p_hi,t_lo,t_hi
5.067,0.288,0,0,0,0
5.229,0.303,0,0,0,0
5.387,0.311,0,0,0,0
5.55,0.316,0,0,0,0
5.713,0.322,0,0,0,0
5.902,0.323,0,0,0,0
6.101,0.323,0,0,0,0
6.307,0.347,0,0,0,0
6.483,0.347,0,0,0,0
6.712,0.355,0,0,0,0
6.916,0.361,0,0,0,0
7.125,0.368,0,0,0,0
7.341,0.376,0,0,0,0
7.564,0.384,0,0,0,0
7.793,0.385,0,0,0,0
8.029,0.39,,,,
8.273,0.395,,,,
8.545,0.39,,,,
8.884,0.393,,,,
9.184,0.416,,,,
9.546,0.439,,,,
9.868,0.439,,,,
10.185,0.458,,,,
10.505,0.484,,,,
10.824,0.503,,,,
11.152,0.518,,,,
11.49,0.538,,,,
11.838,0.558,,,,
12.197,0.572,,,,
12.567,0.593,,,,
12.947,0.612,,,,
13.34,0.628,,,,
13.744,0.647,,,,
14.161,0.667,,,,
14.59,0.685,,,,
15.033,0.7,,,,
15.488,0.72,,,,
15.958,0.74,,,,
16.441,0.752,,,,
16.94,0.771,,,,
17.453,0.789,,,,
17.982,0.806,,,,
18.527,0.819,,,,
19.089,0.838,,,,
19.668,0.856,,,,
20.264,0.87,,,,
20.878,0.888,,,,
21.511,0.904,,,,
22.163,0.923,,,,
22.835,0.934,,,,
23.527,0.954,,,,
24.24,0.975,,,,
24.975,0.995,,,,
25.732,1.019,,,,
26.512,1.044,,,,
27.316,1.065,,,,
28.144,1.09,,,,
28.997,1.113,,,,
29.876,1.136,,,,
30.782,1.161,,,,
31.715,1.182,,,,
32.676,1.209,,,,
33.667,1.24,,,,
34.679,1.273,,,,
35.739,1.31,,,,
36.822,1.347,,,,
37.938,1.381,,,,
39.088,1.417,,,,
40.273,1.453,,,,
41.494,1.487,,,,
42.752,1.522,,,,
44.048,1.557,,,,
45.383,1.592,,,,
46.742,1.622,,,,
48.127,1.675,,,,
49.681,1.75,,,,
51.072,1.797,,,,
52.647,1.851,,,,
54.301,1.924,,,,
55.934,1.975,,,,
57.619,2.028,,,,
59.457,2.088,,,,
61.2,2.148,,,,
63.068,2.21,,,,
64.989,2.271,,,,
66.868,2.33,,,,
68.939,2.399,,,,
71.105,2.475,,,,
73.181,2.571,,,,
75.351,2.68,,,,
77.363,2.812,,,,
78.945,2.958,,,,
80.304,3.081,,,,
82.02,3.202,,,,
83.914,3.33,,,,
85.065,3.47,,,,
86.217,3.606,,,,
87.22,3.732,,,,
87.628,3.869,,,,
88.832,4.022,,,,
89.553,4.158,,,,
91.05,4.297,,,,
91.555,4.459,,,,
93.086,4.69,-4,4,-0.5,0.5
93.602,4.944,,,,
94.642,5.175,,,,
95.911,5.359,,,,
96.874,5.543,,,,
97.64,5.72,,,,
98.091,5.861,,,,
98.448,6.002,,,,
99.164,6.152,,,,
99.745,6.304,,,,
100.479,6.463,,,,
101.226,6.618,,,,
102.133,6.772,,,,
103.028,6.922,,,,
103.794,7.061,,,,
104.649,7.205,,,,
105.505,7.356,,,,
106.361,7.499,,,,
107.165,7.645,,,,
107.975,7.788,,,,
108.913,7.939,,,,
109.942,8.1,,,,
110.864,8.254,,,,
111.892,8.412,,,,
112.94,8.56,,,,
114.163,8.712,,,,
115.013,8.896,,,,
116.1,9.068,,,,
117.491,9.211,,,,
118.007,9.346,,,,
118.757,9.471,,,,
120.271,9.598,,,,
122.272,9.716,,,,
124.637,9.841,,,,
127.462,9.956,,,,
130.609,10.057,,,,
134.797,10.126,,,,
137.944,10.142,,,,
144.055,10.165,,,,
149.738,10.2,-6,6,-0.8,0.8
156.509,10.201,,,,
162.683,10.202,,,,
168.865,10.203,,,,
173.984,10.204,,,,
179.258,10.204,,,,
184.691,10.205,,,,
190.29,10.214,,,,
196.058,10.217,,,,
202.001,10.221,,,,
208.125,10.222,,,,
214.434,10.232,,,,
220.934,10.234,,,,
227.631,10.238,,,,
234.531,10.243,,,,
241.64,10.244,,,,
248.965,10.253,,,,