x,T
0.005,2.606
0.005,2.493
0.005,2.358
0.006,2.771
0.006,2.204
0.006,2.051
0.006,2.931
0.006,1.892
0.006,3.106
0.006,3.298
0.007,1.708
0.007,3.436
0.008,3.614
0.01,1.601
0.01,3.75
0.012,3.89
0.014,4.097
0.016,4.289
0.016,1.575
0.018,4.43
0.02,4.573
0.021,1.573
0.022,4.721
0.025,4.872
0.027,1.557
0.028,5.004
0.031,5.147
0.032,1.554
0.033,5.335
0.036,5.464
0.038,1.542
0.039,5.628
0.041,5.756
0.043,1.533
0.044,5.914
0.047,6.079
0.049,1.533
0.051,6.224
0.054,1.533
0.055,6.365
0.059,6.51
0.059,1.533
0.063,6.645
0.065,1.533
0.067,6.779
0.07,1.53
0.07,6.862
0.073,6.966
0.076,1.521
0.077,7.069
0.081,1.512
0.082,7.19
0.09,7.322
0.09,1.513
0.096,7.412
0.096,1.513
0.101,7.492
0.101,1.513
0.107,7.569
0.107,1.513
0.112,7.634
0.112,1.513
0.117,7.698
0.117,1.503
0.123,7.759
0.123,1.496
0.128,7.81
0.128,1.492
0.134,7.86
0.134,1.492
0.139,7.908
0.139,1.492
0.145,7.952
0.145,1.492
0.15,7.991
0.15,1.493
0.156,8.029
0.156,1.493
0.161,8.063
0.161,1.493
0.166,8.096
0.166,1.493
0.172,8.127
0.172,1.493
0.177,8.155
0.177,1.498
0.183,8.184
0.183,1.506
0.188,8.21
0.188,1.515
0.194,8.237
0.194,1.515
0.199,8.264
0.199,1.515
0.204,8.285
0.204,1.515
0.21,8.31
0.21,1.515
0.215,8.331
0.215,1.515
0.221,8.351
0.221,1.519
0.226,8.372
0.226,1.526
0.232,8.39
0.232,1.537
0.237,8.41
0.237,1.537
0.243,8.429
0.243,1.537
0.248,8.447
0.248,1.537
0.253,8.462
0.253,1.537
0.259,8.476
0.259,1.537
0.264,8.494
0.264,1.555
0.27,8.508
0.27,1.559
0.275,8.519
0.275,1.566
0.281,8.537
0.281,1.58
0.286,8.547
0.286,1.58
0.292,8.558
0.292,1.597
0.297,8.574
0.297,1.614
0.302,8.58
0.302,1.629
0.308,8.601
0.308,1.648
0.313,8.605
0.313,1.671
0.319,8.623
0.319,1.693
0.324,8.626
0.324,1.716
0.33,8.644
0.33,1.737
0.335,8.646
0.335,1.757
0.34,8.666
0.34,1.778
0.346,8.667
0.346,1.802
0.351,8.683
0.351,1.825
0.357,8.687
0.357,1.85
0.362,8.705
0.362,1.873
0.368,8.709
0.368,1.896
0.373,8.709
0.373,1.919
0.379,8.725
0.379,1.94
0.384,8.73
0.384,1.964
0.389,8.73
0.389,1.989
0.395,8.734
0.395,2.013
0.4,8.75
0.4,2.037
0.406,8.752
0.406,2.06
0.411,8.752
0.411,2.085
0.417,8.752
0.417,2.113
0.422,8.752
0.422,2.142
0.427,8.752
0.427,2.17
0.433,8.753
0.433,2.199
0.438,8.753
0.438,2.231
0.444,8.753
0.444,2.261
0.449,8.753
0.449,2.295
0.455,8.753
0.455,2.325
0.46,8.753
0.46,2.362
0.466,8.753
0.466,2.4
0.471,8.753
0.471,2.437
0.476,8.753
0.476,2.474
0.482,8.748
0.482,2.521
0.487,8.732
0.487,2.57
0.493,8.732
0.493,2.624
0.498,8.72
0.498,2.677
0.504,8.711
0.504,2.739
0.509,8.701
0.509,2.803
0.514,8.687
0.514,2.879
0.518,2.909
0.52,8.669
0.522,2.978
0.525,8.652
0.526,3.04
0.529,3.102
0.531,8.634
0.533,3.186
0.536,8.613
0.538,3.28
0.542,8.59
0.543,3.396
0.547,8.562
0.549,3.52
0.553,8.532
0.554,3.639
0.558,8.503
0.559,3.76
0.563,8.466
0.564,3.875
0.569,8.422
0.569,4.001
0.574,4.118
0.574,8.376
0.578,4.243
0.58,8.314
0.583,4.354
0.585,8.249
0.588,4.482
0.591,8.169
0.592,4.605
0.596,8.082
0.597,4.727
0.601,4.856
0.602,7.974
0.605,4.983
0.607,7.852
0.609,5.118
0.612,7.714
0.612,5.257
0.614,7.596
0.616,5.392
0.618,5.526
0.619,7.471
0.621,7.337
0.621,5.687
0.624,7.205
0.624,5.842
0.625,5.996
0.626,7.055
0.627,6.894
0.627,6.177
0.628,6.709
0.628,6.388
0.629,6.555